N,q=3,q=5,q=7,q=11,q=13,q=17,q=19,q=23,q=31,q=37,q=41,q=43,q=47,q=53,q=61,q=71,q=83,q=167
10000,1964,1101,1094,479,550,536,553,227,367,255,202,228,232,159,204,155,86,120
12067,2303,1278,1271,571,645,628,672,275,440,280,231,277,276,175,234,184,103,138
14563,2717,1503,1506,659,750,739,808,323,510,332,263,318,335,203,262,220,119,158
17575,3206,1763,1760,783,877,868,944,385,625,403,311,377,386,252,317,264,141,176
21209,3793,2079,2082,905,1034,1017,1147,458,760,469,360,445,458,279,376,308,167,209
25595,4491,2459,2468,1067,1216,1218,1390,547,908,540,413,521,546,316,439,369,194,265
30888,5278,2928,2929,1295,1430,1460,1632,654,1078,643,489,618,648,390,517,443,228,306
37275,6256,3472,3488,1528,1717,1707,1952,796,1289,755,581,719,759,482,611,530,259,374
44984,7405,4109,4096,1808,2021,1971,2288,933,1506,896,684,833,897,568,732,625,291,442
54286,8790,4875,4837,2169,2394,2288,2686,1096,1757,1081,795,996,1053,673,861,727,341,519
65512,10423,5766,5700,2578,2852,2687,3229,1292,2067,1291,930,1201,1250,807,1012,848,402,601
79060,12322,6843,6709,3042,3467,3201,3813,1507,2469,1564,1130,1427,1470,939,1184,992,464,697
95409,14635,8148,7967,3577,4130,3840,4498,1762,2908,1854,1342,1690,1754,1098,1422,1208,535,828
115139,17383,9631,9356,4208,4966,4591,5318,2107,3489,2229,1588,1999,2074,1272,1676,1434,640,986
138949,20640,11394,11075,4981,5907,5462,6374,2492,4142,2633,1896,2375,2415,1501,1996,1695,748,1145
167683,24518,13494,13106,5950,7012,6439,7536,2948,4911,3120,2203,2818,2916,1758,2316,2023,895,1349
202358,29119,16059,15523,7085,8305,7608,8944,3514,5850,3689,2607,3327,3440,2103,2763,2408,1064,1593
244205,34588,19136,18426,8491,9845,9036,10609,4144,6970,4385,3062,3984,4066,2476,3318,2857,1261,1876
294705,41131,22625,21799,10057,11677,10692,12559,4895,8321,5211,3633,4690,4863,2981,3946,3390,1495,2210
355648,48861,26937,25921,11933,13962,12786,14953,5808,9820,6166,4330,5543,5711,3533,4683,4046,1785,2617
429193,58169,32050,30716,14160,16634,15293,17781,6891,11634,7286,5152,6496,6834,4182,5544,4880,2143,3142
517947,69171,37921,36402,16824,19781,18181,21130,8192,13757,8683,6133,7659,8144,4958,6558,5807,2604,3749
625055,82187,45203,43217,19896,23579,21511,25051,9684,16299,10271,7305,9160,9654,5901,7795,6936,3080,4407
754312,97729,53833,51357,23692,28057,25518,29736,11481,19504,12186,8637,10941,11557,6986,9294,8238,3629,5202
910298,116361,64094,61159,28250,33408,30214,35419,13648,23187,14501,10242,13051,13674,8342,10979,9787,4291,6160
1098541,138211,76334,72872,33602,39674,35894,41981,16258,27370,17238,12230,15577,16348,9979,13021,11682,5081,7333
1325711,164716,90950,86776,40081,47095,42702,49854,19278,32513,20534,14577,18533,19462,11849,15485,13857,6060,8728
1599858,196107,108260,103370,47722,56117,50995,59435,22931,38829,24450,17346,22075,23074,14146,18359,16507,7260,10399
1930697,233314,128864,123232,56859,66828,60631,70754,27263,46082,29129,20657,26407,27344,16850,21846,19685,8634,12321
2329951,277837,153437,146538,67891,79435,72070,84111,32653,54741,34782,24483,31473,32481,20041,25954,23419,10325,14708
2811768,330385,182604,174166,80834,94624,85839,100047,38870,65196,41421,29185,37537,38527,23918,30947,27886,12269,17432
3393221,393728,217816,207532,96242,112680,102106,119025,46460,77502,49261,34790,44672,45676,28433,36901,33173,14657,20735
4094915,468836,259595,246790,114597,133980,121844,141682,55372,92069,58545,41345,52961,54456,33831,43829,39360,17514,24686
4941713,558455,309163,293945,136377,159541,145128,168693,65941,109488,69856,49218,63085,64999,40194,52226,46897,20802,29430
5963623,665424,367998,350439,162682,190232,172792,200813,78612,130232,83104,58697,75117,77531,47818,62236,55896,24787,35154
7196856,793251,438484,417486,193408,226966,205848,238823,93633,155225,99207,69743,89307,92306,57008,74312,66541,29520,41921
8685113,945645,522468,497639,230345,270343,245551,284813,111623,185183,118286,83054,106534,109858,67891,88752,79553,35227,49848
10481131,1127245,622498,593247,274455,322342,292357,339224,133255,220908,141071,98862,126899,131064,80772,106008,94827,41907,59243
12648552,1343640,742042,707019,327060,384430,348682,404369,158792,263192,168256,117829,150993,156177,96268,126288,112993,49778,70634
15264179,1602809,884201,842950,389519,458263,415709,482135,189599,314025,200320,140636,180229,186120,114656,150404,134516,59253,84176
18420699,1911919,1055238,1004536,464526,546108,495555,575558,225939,374580,238695,167670,214734,221938,136655,179295,160234,70701,100344
22229964,2279891,1258313,1198461,553719,651054,590848,685841,269677,446880,284501,199865,255709,265180,162745,213540,191102,84108,120008
26826957,2720427,1501241,1430087,660915,776865,704552,818355,321222,532844,339407,238519,305191,316160,193807,254372,227929,100482,143029
32374575,3245482,1790275,1706710,788343,927290,840308,976596,383000,635382,404562,284599,364154,376444,230727,303364,271981,119733,171035
39069399,3872767,2136591,2035966,940106,1106112,1002374,1165388,457637,757664,483396,339656,434284,448670,275586,362048,324890,142959,203859
47148663,4622026,2550035,2429902,1121531,1320656,1196275,1390235,546296,904060,576720,405326,517712,535049,329065,432306,387439,170693,243517
56898660,5517194,3043366,2900429,1338410,1575842,1428180,1658527,651763,1079241,688159,483895,617841,637978,393166,515721,462672,203731,290751
68664884,6586816,3633305,3463098,1597760,1881171,1704576,1978632,777938,1287963,821567,577568,737089,760783,469207,615514,553073,243184,346621
82864277,7863160,4337881,4133970,1907277,2246395,2034173,2362373,928494,1538075,980725,689300,880040,908349,559784,733969,660487,290494,413932
100000000,9389636,5179467,4934525,2276588,2680970,2428628,2820041,1109005,1837055,1170454,823253,1051232,1083547,668230,875977,788164,347353,493941
